,WEGE3,VVAR11,VIVT4,VALE3,USIM5,UGPA3,TIMP3,TAEE11,SUZB3,SMLS3,SBSP3,SAPR11,SANB11,RENT3,RAIL3,RADL3,QUAL3,PETR4,PETR3,PCAR4,NATU3,MULT3,MRVE3,MRFG3,MGLU3,LREN3,LAME4,KROT3,KLBN11,JBSS3,ITUB4,ITSA4,IGTA3,HYPE3,GOLL4,GOAU4,GGBR4,FLRY3,FIBR3,ESTC3,EQTL3,ENBR3,EMBR3,ELET6,ELET3,EGIE3,ECOR3,CYRE3,CVCB3,CSNA3,CSAN3,CPLE6,CPFE3,CMIG4,CIEL3,CCRO3,BTOW3,BRML3,BRKM5,BRFS3,BRAP4,BBSE3,BBDC4,BBDC3,BBAS3,ABEV3,IBOVESPA
2015-01-01,0.009658240552971233,-0.06256399071228096,0.0023775886340107683,-0.019736805213938217,-0.05427996179226227,-0.008685328614779624,-0.002570773512945369,-0.018766548729866977,-0.02550111445209029,0.030654535436455757,-0.020832821241990162,0.03984788359788354,-0.04166635672523335,0.017654192752529083,-0.03476487792885779,-0.004000435152402168,-0.023925099048389558,-0.06730769949940482,-0.06444444444444446,-0.04018772419177999,-0.047008690029963704,-0.06190713205914477,-0.03319507979630107,-0.0865724381625442,-0.046979975934954815,0.003952942682712218,-0.004744660719504286,-0.03918892247452803,-0.01399586472074774,-0.04820377740070398,-0.012414720398693114,-0.0207198318457751,-0.03125008181677764,-0.025941967357396675,0.006003936351202604,-0.036968973045078034,-0.04720086197974307,0.0,-0.0065014329044281475,-0.08843525497796685,-0.007272643503400847,-0.01832775021522434,0.015694196030808526,-0.026481890049819216,-0.030035335689045924,-0.02729191326104491,0.007511794981660213,-0.044976622647473034,-0.01315782786203823,-0.08333326442539452,-0.03705042207043954,-0.040259009103185896,-0.04878080109610172,-0.02890615660490128,-0.04481376039281439,-0.03464687680539147,-0.0040928158386615045,-0.06359482048542538,0.0017233912132646613,0.0028948994896604748,-0.030791843463623167,-0.04529029932894835,-0.01311989418442544,0.015501729449789284,-0.03443729479930048,-0.008119799211670062,-0.03075527704485488
2015-01-02,0.009658240552971233,-0.06256399071228096,0.0023775886340107683,-0.019736805213938217,-0.05427996179226227,-0.008685328614779624,-0.002570773512945369,-0.018766548729866977,-0.02550111445209029,0.030654535436455757,-0.020832821241990162,0.03984788359788354,-0.04166635672523335,0.017654192752529083,-0.03476487792885779,-0.004000435152402168,-0.023925099048389558,-0.06730769949940482,-0.06444444444444446,-0.04018772419177999,-0.047008690029963704,-0.06190713205914477,-0.03319507979630107,-0.0865724381625442,-0.046979975934954815,0.003952942682712218,-0.004744660719504286,-0.03918892247452803,-0.01399586472074774,-0.04820377740070398,-0.012414720398693114,-0.0207198318457751,-0.03125008181677764,-0.025941967357396675,0.006003936351202604,-0.036968973045078034,-0.04720086197974307,0.0,-0.0065014329044281475,-0.08843525497796685,-0.007272643503400847,-0.01832775021522434,0.015694196030808526,-0.026481890049819216,-0.030035335689045924,-0.02729191326104491,0.007511794981660213,-0.044976622647473034,-0.01315782786203823,-0.08333326442539452,-0.03705042207043954,-0.040259009103185896,-0.04878080109610172,-0.02890615660490128,-0.04481376039281439,-0.03464687680539147,-0.0040928158386615045,-0.06359482048542538,0.0017233912132646613,0.0028948994896604748,-0.030791843463623167,-0.04529029932894835,-0.01311989418442544,0.015501729449789284,-0.03443729479930048,-0.008119799211670062,-0.03075527704485488
2015-01-03,0.009658240552971233,-0.06256399071228096,0.0023775886340107683,-0.019736805213938217,-0.05427996179226227,-0.008685328614779624,-0.002570773512945369,-0.018766548729866977,-0.02550111445209029,0.030654535436455757,-0.020832821241990162,0.03984788359788354,-0.04166635672523335,0.017654192752529083,-0.03476487792885779,-0.004000435152402168,-0.023925099048389558,-0.06730769949940482,-0.06444444444444446,-0.04018772419177999,-0.047008690029963704,-0.06190713205914477,-0.03319507979630107,-0.0865724381625442,-0.046979975934954815,0.003952942682712218,-0.004744660719504286,-0.03918892247452803,-0.01399586472074774,-0.04820377740070398,-0.012414720398693114,-0.0207198318457751,-0.03125008181677764,-0.025941967357396675,0.006003936351202604,-0.036968973045078034,-0.04720086197974307,0.0,-0.0065014329044281475,-0.08843525497796685,-0.007272643503400847,-0.01832775021522434,0.015694196030808526,-0.026481890049819216,-0.030035335689045924,-0.02729191326104491,0.007511794981660213,-0.044976622647473034,-0.01315782786203823,-0.08333326442539452,-0.03705042207043954,-0.040259009103185896,-0.04878080109610172,-0.02890615660490128,-0.04481376039281439,-0.03464687680539147,-0.0040928158386615045,-0.06359482048542538,0.0017233912132646613,0.0028948994896604748,-0.030791843463623167,-0.04529029932894835,-0.01311989418442544,0.015501729449789284,-0.03443729479930048,-0.008119799211670062,-0.03075527704485488
2015-01-04,0.009658240552971233,-0.06256399071228096,0.0023775886340107683,-0.019736805213938217,-0.05427996179226227,-0.008685328614779624,-0.002570773512945369,-0.018766548729866977,-0.02550111445209029,0.030654535436455757,-0.020832821241990162,0.03984788359788354,-0.04166635672523335,0.017654192752529083,-0.03476487792885779,-0.004000435152402168,-0.023925099048389558,-0.06730769949940482,-0.06444444444444446,-0.04018772419177999,-0.047008690029963704,-0.06190713205914477,-0.03319507979630107,-0.0865724381625442,-0.046979975934954815,0.003952942682712218,-0.004744660719504286,-0.03918892247452803,-0.01399586472074774,-0.04820377740070398,-0.012414720398693114,-0.0207198318457751,-0.03125008181677764,-0.025941967357396675,0.006003936351202604,-0.036968973045078034,-0.04720086197974307,0.0,-0.0065014329044281475,-0.08843525497796685,-0.007272643503400847,-0.01832775021522434,0.015694196030808526,-0.026481890049819216,-0.030035335689045924,-0.02729191326104491,0.007511794981660213,-0.044976622647473034,-0.01315782786203823,-0.08333326442539452,-0.03705042207043954,-0.040259009103185896,-0.04878080109610172,-0.02890615660490128,-0.04481376039281439,-0.03464687680539147,-0.0040928158386615045,-0.06359482048542538,0.0017233912132646613,0.0028948994896604748,-0.030791843463623167,-0.04529029932894835,-0.01311989418442544,0.015501729449789284,-0.03443729479930048,-0.008119799211670062,-0.03075527704485488
2015-01-05,-0.00420960862277707,-0.021309610679486796,0.009548768799399747,0.00954214078914551,-0.05555540330183529,-0.004857441206440543,-0.002629353210710748,0.009057252982704012,-0.016682599152510545,0.0012496133497465096,0.009523953584670976,0.03984788359788354,0.0007878701522937399,-0.04790438817683998,-0.0637359847793116,-0.011731332075045568,0.022693088246140383,-0.06155645315477589,-0.04474002418379698,-0.0054845959224036275,-0.006314367913523149,-0.008783693094837418,-0.01830973691607123,-0.07088122605363988,0.00790516802219771,-0.022226089355871434,-0.026445394539453947,-0.04617611524342928,-0.011428624322543976,0.03195528873196516,0.02058828301840866,0.01847839189663106,-0.011358990264981373,0.00562154190669017,-0.003366665499322445,-0.04390274387392048,-0.03669722580821476,-0.036529472137043106,-0.0009339808841056033,-0.0485809421499142,-0.026512382696160932,-0.022405777265695117,-0.022633779574591645,0.003821622284565313,0.003603603603603527,0.011332287349636764,-0.0666667857711925,0.02798495910194058,-0.004000273699064839,-0.03917542604634584,-0.047801132303251816,-0.013333278140212634,0.008547024302182417,-0.0024060856001029917,-0.04013532075478957,-0.01608396071911166,-0.03644122978968716,0.013114767068068158,-0.04645447430595487,-0.009835935293948458,0.001494168020079813,-0.028126229885494538,0.01863205385664108,0.008296069663450213,-0.018034335035664442,-0.01596468701608589,-0.020961360383870697
2015-01-06,-0.01512672266463035,0.021571664212669973,-0.0039413254285278485,0.024311803343949185,0.04449125279273312,-0.004684648064445392,-0.010582337147875032,0.002638595612819206,0.05424250690362582,0.0008368137388083058,0.010600325511495813,0.03984788359788354,0.0055113659116711265,0.026454127089138243,-0.04357822035101,0.016706374476196984,0.02109078021375425,-0.04561837283588756,-0.027295285359801347,0.02387434668940738,-0.01202022174488489,0.04849770035924548,0.017980518355369818,-0.03125000000000003,-0.008010711388030691,0.018221425228068095,0.02970862416807735,-0.09486246245535034,0.03185609862258033,0.02497594137046781,0.015918854043705192,0.005393953998550379,0.030278255198457647,-0.02031711856998069,0.030900523918235025,0.09275558933044115,0.10010295212479185,-0.008603587953675502,0.00277807380424152,-0.08238335872529144,0.037729213307944535,0.00823526712701941,-0.020955530609518068,0.03950613635994598,0.0035714285714284954,0.018012597107096524,-0.009165011979153249,0.02631617297732149,-0.008783514225952298,0.05598459131938239,-0.044983803284845546,-0.006097503837620147,0.011160937261174399,-0.01456400585927618,-0.025266181150808833,0.007580767159521366,0.009877654517251155,0.016098110967464344,-0.02748321327139011,0.0035743886756395057,0.033070232246357315,0.039465037366251544,0.0312850117439474,0.024241771943115737,0.011560762815750048,0.023588139974019533,0.0100625
2015-01-07,-0.007245914935970521,-0.008226200067724652,0.011608183223333119,0.012389678723707652,0.029999960946918168,0.01289688000733957,0.00954061914231007,-0.005838084541702229,-0.003521017542111631,-0.004851452148510995,-0.0029393749253017417,0.03984788359788354,0.04697961124032135,0.01255380438852328,0.026666972227769644,0.018604515587016736,-0.018148252893132745,0.01268742791234147,0.017751479289940662,0.009492442466859657,0.03330125454088307,0.013333438436554568,0.023904535016169917,0.02259887005649703,0.018064451253447536,0.013568685421683071,0.008772004901310467,-0.016587305209458513,0.008247459408427216,0.012218468974764031,0.02234625894815438,0.0176713474766912,0.015102267627006366,0.04656676752116154,-0.04123712757431331,0.05371894165565878,0.04510535746031486,-0.010666628217345283,0.008224380636014156,-0.06332451055182015,-0.008664008382704444,0.033898266449932664,-0.010979896811046662,0.034523931606708955,0.036206896551724134,0.021376453279464334,0.06350699727150415,0.020335543087363656,-0.014314774580667648,0.06445984809486918,0.011376876034579913,0.0483871020623888,0.030844209839593628,-0.0040165854991923294,0.0028985718520246908,0.06602558568149415,-0.015187370875742585,0.007481361688831992,-0.0031249411862129643,0.0388803471244732,0.02622457843339656,-0.017491652445490818,0.02575205407131036,0.03593134210075386,0.022998851253529,0.01029663508657295,0.02943673931502972
2015-01-08,0.00845481452795225,0.002005136253535986,0.008935857020326008,0.0030648724204703514,-0.0736844086670586,-0.010748522417958416,0.039166110652061485,0.004206215079592957,-0.00355323835904293,0.007113043148603397,-0.008741045149108784,0.03984788359788354,-0.01742385686739728,-0.03225787594323764,0.010941314066648453,0.004615647953923514,-0.02515922037252287,0.0424836601307189,0.04656319290465631,0.00797692068475908,-0.004838784623076164,-0.007363859484089822,-0.0013210872256616945,0.01651376146788988,0.0013018860210122672,0.0038160734780610587,-0.013690982637809993,0.05973453946044636,0.0027510438963812556,-0.008410866768333702,0.009900809824868682,0.0020578716847600466,0.019686622992481164,0.0011931955324781607,-0.00981107427023177,-0.02518873884783754,-0.03131114184531339,-0.014865014070136755,-0.01552802275256933,0.025063855622228643,-0.01672723363492043,0.02747257687078725,-0.04347816398393264,-0.039072133260230166,-0.022847100175746905,0.00956539602287861,-0.017110237991934587,-0.004385866053584699,-0.0431100240379741,-0.04642877010495364,-0.007364087426727155,-0.010443698675647614,0.023158127734926846,-0.023654211178486803,0.01948744331155547,0.011406841424377218,-0.03143397707488405,-0.012407055037235621,-0.003740427404469349,-0.022961075716621954,-0.011724488532811887,-0.01425711163677772,0.0021576989822963614,0.006894543537584266,-0.008913906080896093,0.0030344775503349025,0.009610956490399055
2015-01-09,-0.002289965887020733,-0.03095503874457518,-0.012581311282609992,-0.010738236791614337,-0.02850865825354685,-0.0060605981609220295,-0.04130845863769617,-0.02314307724224181,-0.01808262397893036,-0.017021406756126522,-0.01431971256964486,0.03984788359788354,-0.008594243769381133,0.0017518673004173015,-0.020134298971104064,-0.013645097339900806,-0.002995296594220953,0.021276491614745586,0.021528525296017148,-0.02014678041694537,-0.022674985585444653,0.020502164730612532,-0.03314938869746207,0.010909090909090839,-0.018666598130908305,-0.026193995282650463,-0.02153862298227664,-0.011994423884255494,0.005490758803892312,-0.014381609933916777,-0.03681365126953248,-0.02878443402288013,-0.008495388816656985,-0.010302836338244536,-0.006405620488874227,-0.05982106931295627,-0.04968953266632171,-0.007457479510852517,-0.008866213747601357,-0.018907490698412098,-0.049903859560380404,-0.03211011650467461,-0.006579204695809503,-0.06036743475789803,-0.019748653500897564,-0.07755113600210682,-0.019512127256820715,-0.04633918365402935,-0.015714041340210445,-0.020408250053157464,-0.021599950287592706,-0.046022478490553485,-0.06884911494488609,-0.03550330452807635,0.030386488307634622,-0.009002895500699791,-0.005432046799483917,-0.002500021751929202,-0.013384686720793874,-0.019747558872627895,0.0006974637039416391,-0.019795167617906964,-0.03524131429491157,-0.03458105286082229,-0.04259102358836342,0.0,-0.022809172809172808
2015-01-10,-0.002289965887020733,-0.03095503874457518,-0.012581311282609992,-0.010738236791614337,-0.02850865825354685,-0.0060605981609220295,-0.04130845863769617,-0.02314307724224181,-0.01808262397893036,-0.017021406756126522,-0.01431971256964486,0.03984788359788354,-0.008594243769381133,0.0017518673004173015,-0.020134298971104064,-0.013645097339900806,-0.002995296594220953,0.021276491614745586,0.021528525296017148,-0.02014678041694537,-0.022674985585444653,0.020502164730612532,-0.03314938869746207,0.010909090909090839,-0.018666598130908305,-0.026193995282650463,-0.02153862298227664,-0.011994423884255494,0.005490758803892312,-0.014381609933916777,-0.03681365126953248,-0.02878443402288013,-0.008495388816656985,-0.010302836338244536,-0.006405620488874227,-0.05982106931295627,-0.04968953266632171,-0.007457479510852517,-0.008866213747601357,-0.018907490698412098,-0.049903859560380404,-0.03211011650467461,-0.006579204695809503,-0.06036743475789803,-0.019748653500897564,-0.07755113600210682,-0.019512127256820715,-0.04633918365402935,-0.015714041340210445,-0.020408250053157464,-0.021599950287592706,-0.046022478490553485,-0.06884911494488609,-0.03550330452807635,0.030386488307634622,-0.009002895500699791,-0.005432046799483917,-0.002500021751929202,-0.013384686720793874,-0.019747558872627895,0.0006974637039416391,-0.019795167617906964,-0.03524131429491157,-0.03458105286082229,-0.04259102358836342,0.0,-0.022809172809172808
