IBOVESPA
ABEV3
BBAS3
BBDC3
BBDC4
BBSE3
BRAP4
BRFS3
BRKM5
BRML3
BTOW3
CCRO3
CIEL3
CMIG4
CPFE3
CPLE6
CSAN3
CSNA3
CVCB3
CYRE3
ECOR3
EGIE3
ELET3
ELET6
EMBR3
ENBR3
EQTL3
ESTC3
FIBR3
FLRY3
GGBR4
GOAU4
GOLL4
HYPE3
IGTA3
ITSA4
ITUB4
JBSS3
KLBN11
KROT3
LAME4
LREN3
MGLU3
MRFG3
MRVE3
MULT3
NATU3
PCAR4
PETR3
PETR4
QUAL3
RADL3
RAIL3
RENT3
SANB11
SAPR11
SBSP3
SMLS3
SUZB3
TAEE11
TIMP3
UGPA3
USIM5
VALE3
VIVT4
VVAR11
WEGE3
